agent_id,date,total_tours,escorted_tours,virtual_tours,actual_travels_required,daily_travel_time,travel_segments,final_physical_location
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-22,5,5,0,3,19.851905039728603,"[{'from_property': 64940, 'to_property': 64937, 'travel_time': 5.635846297599026, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-22 14:15:00'), 'next_start': Timestamp('2025-05-22 15:00:00'), 'buffer_time': 45.0}, {'from_property': 64937, 'to_property': 64932, 'travel_time': 7.108029371064788, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-22 17:00:00'), 'next_start': Timestamp('2025-05-22 18:00:00'), 'buffer_time': 60.0}, {'from_property': 64932, 'to_property': 64937, 'travel_time': 7.108029371064788, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-22 19:00:00'), 'next_start': Timestamp('2025-05-22 20:00:00'), 'buffer_time': 60.0}]",64937.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-27,1,1,0,0,0.0,[],64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-28,2,2,0,1,7.503403674298393,"[{'from_property': 84770, 'to_property': 64932, 'travel_time': 7.503403674298393, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-28 17:00:00'), 'next_start': Timestamp('2025-05-28 17:00:00'), 'buffer_time': 0.0}]",64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-29,1,1,0,0,0.0,[],64943.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-01,1,1,0,0,0.0,[],64934.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-09,1,1,0,0,0.0,[],64933.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-16,1,1,0,0,0.0,[],64934.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-17,1,0,1,0,0.0,[],
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-23,2,2,0,0,0.0,[],64935.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-24,1,1,0,0,0.0,[],64933.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-30,1,1,0,0,0.0,[],64935.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-31,2,2,0,0,0.0,[],64933.0
1f158974-a996-45f7-b804-b738faff9c16,2025-05-13,1,1,0,0,0.0,[],64932.0
1f158974-a996-45f7-b804-b738faff9c16,2025-05-14,1,1,0,0,0.0,[],84770.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-01,4,4,0,1,15.460035594910849,"[{'from_property': 64932, 'to_property': 64938, 'travel_time': 15.460035594910849, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-01 14:00:00'), 'next_start': Timestamp('2025-05-01 15:15:00'), 'buffer_time': 75.0}]",64938.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-02,3,3,0,2,10.0,"[{'from_property': 64933, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-02 16:15:00'), 'next_start': Timestamp('2025-05-02 16:30:00'), 'buffer_time': 15.0}, {'from_property': 64935, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-02 18:15:00'), 'next_start': Timestamp('2025-05-02 20:00:00'), 'buffer_time': 105.0}]",64933.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-03,3,1,2,0,0.0,[],64933.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-05,4,3,1,2,12.213499938634374,"[{'from_property': 100490, 'to_property': 78139, 'travel_time': 7.185725773873661, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-05 17:15:00'), 'next_start': Timestamp('2025-05-05 18:00:00'), 'buffer_time': 45.0}, {'from_property': 78139, 'to_property': 64934, 'travel_time': 5.027774164760714, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-05 19:15:00'), 'next_start': Timestamp('2025-05-05 20:00:00'), 'buffer_time': 45.0}]",64934.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-06,2,2,0,1,8.125460914478888,"[{'from_property': 64935, 'to_property': 64940, 'travel_time': 8.125460914478888, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-06 18:15:00'), 'next_start': Timestamp('2025-05-06 20:15:00'), 'buffer_time': 120.0}]",64940.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-07,4,4,0,3,36.85450478120309,"[{'from_property': 64932, 'to_property': 64938, 'travel_time': 15.460035594910849, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-07 16:00:00'), 'next_start': Timestamp('2025-05-07 16:30:00'), 'buffer_time': 30.0}, {'from_property': 64938, 'to_property': 84770, 'travel_time': 13.891065511993851, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-07 17:45:00'), 'next_start': Timestamp('2025-05-07 18:00:00'), 'buffer_time': 15.0}, {'from_property': 84770, 'to_property': 64932, 'travel_time': 7.503403674298393, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-07 18:45:00'), 'next_start': Timestamp('2025-05-07 19:00:00'), 'buffer_time': 15.0}]",64932.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-08,5,5,0,4,30.726128200596328,"[{'from_property': 64938, 'to_property': 64937, 'travel_time': 11.175193499920177, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-08 15:45:00'), 'next_start': Timestamp('2025-05-08 17:00:00'), 'buffer_time': 75.0}, {'from_property': 64937, 'to_property': 64932, 'travel_time': 7.108029371064788, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-08 18:00:00'), 'next_start': Timestamp('2025-05-08 18:00:00'), 'buffer_time': 0.0}, {'from_property': 64932, 'to_property': 64937, 'travel_time': 7.108029371064788, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-08 19:00:00'), 'next_start': Timestamp('2025-05-08 19:30:00'), 'buffer_time': 30.0}, {'from_property': 64937, 'to_property': 100490, 'travel_time': 5.334875958546577, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-08 20:30:00'), 'next_start': Timestamp('2025-05-08 20:30:00'), 'buffer_time': 0.0}]",100490.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-11,1,1,0,0,0.0,[],64939.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-12,4,4,0,2,13.10757243742513,"[{'from_property': 64939, 'to_property': 64933, 'travel_time': 8.10757243742513, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-12 19:15:00'), 'next_start': Timestamp('2025-05-12 19:30:00'), 'buffer_time': 15.0}, {'from_property': 64933, 'to_property': 84770, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-12 20:30:00'), 'next_start': Timestamp('2025-05-12 21:00:00'), 'buffer_time': 30.0}]",84770.0
